m_disk, sb_law, scale_factor, lnprob 

-3.871254314995572710e+00,5.807037757449498017e+00,1.690269773798635522e-01,2.090860579200000000e+10
-5.742145270689427150e+00,6.325044895332506911e+00,7.022379879747986386e-02,2.878510705000000000e+08
-6.736067007993883138e+00,-7.511490532340303616e-01,8.770652473372017588e-02,9.444069406250000000e+06
-6.849948914147082846e+00,1.082534611588019402e+01,2.269496877319986394e-01,1.500866792968750000e+06
-4.307543662634536474e+00,8.863876958830717356e+00,5.997652650148502240e-02,5.911946208000000000e+09
-9.298137287152121289e+00,6.170533438689670191e+00,9.097492158765843606e-02,6.345918632812500000e+05
-1.010199862781483304e+01,3.915931892080329213e+00,6.139468352427353975e-02,6.353565937500000000e+05
-7.519324777401079629e+00,3.760289759377779539e+00,1.029246679152244909e-01,6.773199765625000000e+05
-3.871254314995572710e+00,5.807037757449498017e+00,1.690269773798635522e-01,2.090860579200000000e+10
-5.742145270689427150e+00,6.325044895332506911e+00,7.022379879747986386e-02,2.878510705000000000e+08
-6.403017781995743007e+00,5.674616891289598897e-01,8.390361525548778454e-02,2.650934112500000000e+07
-6.849948914147082846e+00,1.082534611588019402e+01,2.269496877319986394e-01,1.500866792968750000e+06
-4.307543662634536474e+00,8.863876958830717356e+00,5.997652650148502240e-02,5.911946208000000000e+09
-7.557904728605832290e+00,6.246148306854011345e+00,8.081973019839804040e-02,6.668720273437500000e+05
-1.010199862781483304e+01,3.915931892080329213e+00,6.139468352427353975e-02,6.353565937500000000e+05
-7.519324777401079629e+00,3.760289759377779539e+00,1.029246679152244909e-01,6.773199765625000000e+05
-3.871254314995572710e+00,5.807037757449498017e+00,1.690269773798635522e-01,2.090860579200000000e+10
-5.742145270689427150e+00,6.325044895332506911e+00,7.022379879747986386e-02,2.878510705000000000e+08
-5.521744407298809776e+00,-1.953130208867330353e+00,6.888736315214268047e-02,1.248307844000000000e+09
-4.945834256472051216e+00,1.487089217386084528e+01,3.238841561192759566e-01,2.662319684000000000e+09
-4.307543662634536474e+00,8.863876958830717356e+00,5.997652650148502240e-02,5.911946208000000000e+09
-7.557904728605832290e+00,6.246148306854011345e+00,8.081973019839804040e-02,6.668720273437500000e+05
-1.033486032483944506e+01,3.845255565311945567e+00,5.737214025439511811e-02,6.354282070312500000e+05
-6.895244192824089957e+00,1.975313030990272889e+00,9.229079236663681463e-02,2.534608296875000000e+06
-3.871254314995572710e+00,5.807037757449498017e+00,1.690269773798635522e-01,2.090860579200000000e+10
